Filename,Path,exp_type
260409_hydroxytempo_n_scan.h5,/Users/atahan/exp_data/B27/n_scans,B27/n_scans
260323_hydroxytempo_shim_y_2.h5,C:\Users\admin\experimental_data\ODNP_NMR_comp\Echoes,ODNP_NMR_comp/Echoes
